timestamp,elapsed_s,energy_wh,power_w,voltage_v,capacity_pct,status,integral_wh
2026-08-03T12:02:39+05:00,10,40.622,14.51,7.937,100,Discharging,0.0202
2026-08-03T12:02:49+05:00,20,40.622,14.42,7.934,100,Discharging,0.0603
2026-08-03T12:02:59+05:00,30,40.622,11.63,7.982,100,Discharging,0.0965
2026-08-03T12:03:09+05:00,40,40.622,18.35,7.886,100,Discharging,0.1382
2026-08-03T12:03:19+05:00,50,40.591,13.48,7.923,100,Discharging,0.1824
2026-08-03T12:03:29+05:00,60,40.553,15.53,7.917,100,Discharging,0.2227
2026-08-03T12:03:39+05:00,70,40.506,17.35,7.867,100,Discharging,0.2683
2026-08-03T12:03:49+05:00,80,40.460,15.96,7.901,100,Discharging,0.3146
2026-08-03T12:03:59+05:00,90,40.421,15.47,7.892,100,Discharging,0.3582
2026-08-03T12:04:09+05:00,100,40.375,14.99,7.887,99,Discharging,0.4005
2026-08-03T12:04:19+05:00,110,40.306,23.43,7.594,99,Discharging,0.4539
2026-08-03T12:04:29+05:00,120,40.228,16.89,7.899,99,Discharging,0.5099
2026-08-03T12:04:39+05:00,130,40.190,11.34,7.945,99,Discharging,0.5491
2026-08-03T12:04:49+05:00,140,40.167,10.06,7.948,99,Discharging,0.5788
2026-08-03T12:04:59+05:00,150,40.136,10.40,7.949,99,Discharging,0.6073
2026-08-03T12:05:09+05:00,160,40.105,10.91,7.949,99,Discharging,0.6369
2026-08-03T12:05:19+05:00,170,40.082,10.16,7.955,99,Discharging,0.6661
2026-08-03T12:05:29+05:00,180,40.051,10.19,7.961,99,Discharging,0.6944
2026-08-03T12:05:39+05:00,190,40.020,9.74,7.962,99,Discharging,0.7220
2026-08-03T12:05:49+05:00,200,39.997,9.89,7.954,98,Discharging,0.7493
2026-08-03T12:05:59+05:00,210,39.966,9.74,7.956,98,Discharging,0.7766
2026-08-03T12:06:09+05:00,220,39.935,9.54,7.958,98,Discharging,0.8034
2026-08-03T12:06:19+05:00,230,39.912,9.81,7.957,98,Discharging,0.8302
2026-08-03T12:06:29+05:00,240,39.881,11.02,7.934,98,Discharging,0.8592
2026-08-03T12:06:39+05:00,250,39.858,9.73,7.953,98,Discharging,0.8880
2026-08-03T12:06:49+05:00,260,39.827,9.35,7.961,98,Discharging,0.9145
2026-08-03T12:06:59+05:00,270,39.804,9.55,7.938,98,Discharging,0.9408
2026-08-03T12:07:09+05:00,280,39.773,10.48,7.951,98,Discharging,0.9686
2026-08-03T12:07:20+05:00,291,39.750,9.54,7.950,98,Discharging,0.9992
2026-08-03T12:07:30+05:00,301,39.719,9.94,7.955,98,Discharging,1.0262
2026-08-03T12:07:40+05:00,311,39.688,10.71,7.942,98,Discharging,1.0549
2026-08-03T12:07:50+05:00,321,39.665,9.93,7.935,98,Discharging,1.0835
2026-08-03T12:08:00+05:00,331,39.634,12.14,7.918,98,Discharging,1.1142
2026-08-03T12:08:10+05:00,341,39.611,10.97,7.937,98,Discharging,1.1463
2026-08-03T12:08:20+05:00,351,39.580,9.77,7.933,97,Discharging,1.1751
2026-08-03T12:08:30+05:00,361,39.549,10.06,7.903,97,Discharging,1.2026
2026-08-03T12:08:40+05:00,371,39.526,12.03,7.897,97,Discharging,1.2333
2026-08-03T12:08:50+05:00,381,39.480,7.21,7.968,97,Discharging,1.2600
2026-08-03T12:09:00+05:00,391,39.464,6.66,7.988,97,Discharging,1.2793
2026-08-03T12:09:10+05:00,401,39.441,6.68,7.988,97,Discharging,1.2978
2026-08-03T12:09:20+05:00,411,39.426,6.51,7.985,97,Discharging,1.3161
