epoch,pkg_w,psys_w,cpu_freq_avg_mhz,cpu_freq_max_mhz,pkg_temp_c,sen3_c,bat_status,bat_pct,bat_power_w,ac_online,pkg_throttle_count,core_throttle_count,platform_profile
1784619434,5.53,26.60,685,2109,46.0,42.0,Charging,84,18.73,1,12946,5419,balanced
1784619435,5.20,26.13,918,2563,52.0,42.0,Charging,84,18.67,1,12946,5419,balanced
1784619436,4.90,25.46,994,3180,45.0,42.0,Charging,84,18.67,1,12946,5419,balanced
1784619437,5.02,25.75,901,1705,45.0,43.0,Charging,84,18.61,1,12946,5419,balanced
1784619439,5.42,26.47,709,1700,46.0,43.0,Charging,84,18.55,1,12946,5419,balanced
1784619440,4.83,25.31,1014,3311,47.0,43.0,Charging,84,18.50,1,12946,5419,balanced
1784619441,5.27,26.23,770,1836,45.0,43.0,Charging,84,18.44,1,12946,5419,balanced
1784619442,5.92,28.23,1120,3954,48.0,43.0,Charging,84,18.38,1,12946,5419,balanced
1784619443,5.18,26.02,1328,4602,49.0,43.0,Charging,84,18.33,1,12946,5419,balanced
1784619444,5.37,26.52,1052,2325,46.0,43.0,Charging,84,18.33,1,12946,5419,balanced
1784619445,4.61,22.08,564,2105,45.0,44.0,Charging,84,18.30,1,12946,5419,balanced
1784619446,4.15,18.65,725,1657,46.0,44.0,Charging,84,18.25,1,12946,5419,balanced
1784619447,4.96,20.62,503,1700,45.0,44.0,Charging,84,18.20,1,12946,5419,balanced
1784619448,4.94,17.65,1025,2903,45.0,44.0,Charging,84,18.16,1,12946,5419,balanced
1784619449,16.25,37.91,673,2294,45.0,44.0,Charging,84,17.50,1,12946,5419,balanced
1784619450,4.37,22.00,667,2358,45.0,44.0,Charging,84,18.10,1,12946,5419,balanced
1784619451,4.44,22.13,677,2157,46.0,44.0,Charging,84,18.10,1,12946,5419,balanced
1784619452,4.93,22.15,1089,3394,47.0,44.0,Charging,84,18.04,1,12946,5419,balanced
1784619453,5.68,19.21,847,1841,47.0,44.0,Charging,84,17.99,1,12946,5419,balanced
1784619454,5.30,18.37,852,2803,47.0,44.0,Charging,84,17.95,1,12946,5419,balanced
1784619455,4.43,16.32,730,3395,49.0,45.0,Charging,84,17.93,1,12946,5419,balanced
1784619456,4.39,16.32,1000,2620,45.0,45.0,Charging,84,17.88,1,12946,5419,balanced
1784619458,4.37,16.62,666,2751,45.0,45.0,Charging,84,17.84,1,12946,5419,balanced
1784619459,4.49,16.47,871,4251,47.0,45.0,Charging,84,17.84,1,12946,5419,balanced
1784619460,4.64,16.69,676,3258,48.0,45.0,Charging,84,17.82,1,12946,5419,balanced
1784619461,5.07,18.11,796,1603,45.0,45.0,Charging,84,17.78,1,12946,5419,balanced
1784619462,4.83,17.28,518,1853,45.0,45.0,Charging,84,17.76,1,12946,5419,balanced
1784619463,4.62,16.93,708,1700,44.0,45.0,Charging,84,17.72,1,12946,5419,balanced
