epoch,pkg_w,psys_w,cpu_freq_avg_mhz,cpu_freq_max_mhz,pkg_temp_c,sen3_c,bat_status,bat_pct,bat_power_w,ac_online,pkg_throttle_count,core_throttle_count,platform_profile
1784603409,4.38,24.86,835,3400,43.0,47.0,Charging,68,18.90,1,72,28,balanced
1784603410,3.61,23.69,648,3400,45.0,47.0,Charging,68,18.90,1,72,28,balanced
1784603411,3.44,23.00,825,3400,47.0,47.0,Charging,68,18.90,1,72,28,balanced
1784603412,3.72,23.67,837,3266,43.0,47.0,Charging,68,18.89,1,72,28,balanced
1784603413,3.63,23.32,942,3415,45.0,47.0,Charging,68,18.90,1,72,28,balanced
1784603414,3.44,23.09,739,3334,43.0,47.0,Charging,68,18.89,1,72,28,balanced
1784603415,3.79,23.71,643,3311,43.0,47.0,Charging,68,18.88,1,72,28,balanced
1784603416,3.55,23.23,646,2915,41.0,47.0,Charging,68,18.88,1,72,28,balanced
1784603417,5.44,27.04,495,1871,41.0,47.0,Charging,68,18.88,1,72,28,balanced
1784603418,3.12,22.45,596,1908,41.0,47.0,Charging,68,18.88,1,72,28,balanced
1784603419,2.72,18.88,647,2424,41.0,47.0,Charging,68,18.87,1,72,28,balanced
1784603420,2.34,15.96,600,1701,41.0,47.0,Charging,68,18.86,1,72,28,balanced
1784603421,2.34,15.51,606,1983,42.0,47.0,Charging,68,18.85,1,72,28,balanced
1784603422,2.39,13.26,519,1700,41.0,47.0,Charging,68,18.85,1,72,28,balanced
1784603423,2.42,13.10,496,1725,41.0,47.0,Charging,68,18.85,1,72,28,balanced
1784603425,2.49,13.20,527,2078,41.0,47.0,Charging,68,18.85,1,72,28,balanced
1784603426,2.34,12.98,731,2084,42.0,47.0,Charging,68,18.85,1,72,28,balanced
1784603427,2.57,13.67,640,2288,40.0,47.0,Charging,68,18.85,1,72,28,balanced
1784603428,2.48,13.23,486,1700,41.0,47.0,Charging,68,18.84,1,72,28,balanced
1784603429,2.67,13.56,549,1946,41.0,47.0,Charging,68,18.84,1,72,28,balanced
1784603430,2.36,12.95,604,3280,42.0,47.0,Charging,68,18.84,1,72,28,balanced
1784603431,2.48,13.13,892,3400,41.0,47.0,Charging,68,18.83,1,72,28,balanced
1784603432,2.56,13.26,755,3306,41.0,47.0,Charging,68,18.82,1,72,28,balanced
1784603433,2.49,13.15,616,3298,41.0,46.0,Charging,68,18.82,1,72,28,balanced
1784603434,2.50,13.22,542,1722,40.0,46.0,Charging,68,18.82,1,72,28,balanced
1784603435,2.42,13.06,627,3341,42.0,46.0,Charging,68,18.82,1,72,28,balanced
1784603436,2.53,13.21,558,2475,41.0,46.0,Charging,68,18.82,1,72,28,balanced
1784603437,2.40,13.12,835,3426,42.0,46.0,Charging,68,18.81,1,72,28,balanced
1784603438,2.75,14.00,701,2032,40.0,46.0,Charging,68,18.81,1,72,28,balanced
1784603439,2.68,13.86,656,3312,41.0,46.0,Charging,68,18.80,1,72,28,balanced
1784603440,2.38,12.98,554,2214,41.0,46.0,Charging,68,18.79,1,72,28,balanced
1784603441,2.43,13.08,490,1819,40.0,46.0,Charging,68,18.80,1,72,28,balanced
1784603442,2.43,13.08,651,1702,40.0,46.0,Charging,68,18.80,1,72,28,balanced
1784603443,2.30,12.89,954,3417,43.0,46.0,Charging,68,18.80,1,72,28,balanced
1784603445,2.48,13.16,995,3408,42.0,46.0,Charging,68,18.78,1,72,28,balanced
1784603446,2.40,12.94,1077,3399,41.0,46.0,Charging,68,18.77,1,72,28,balanced
1784603447,2.43,12.97,820,3419,43.0,46.0,Charging,68,18.76,1,72,28,balanced
1784603448,2.64,13.65,936,3351,42.0,46.0,Charging,68,18.77,1,72,28,balanced
1784603449,2.60,13.30,994,4402,41.0,46.0,Charging,68,18.76,1,72,28,balanced
1784603450,2.53,13.25,679,3327,40.0,46.0,Charging,68,18.75,1,72,28,balanced
1784603451,2.52,13.15,848,3395,41.0,46.0,Charging,68,18.75,1,72,28,balanced
1784603452,2.40,12.92,920,3392,41.0,46.0,Charging,68,18.76,1,72,28,balanced
1784603453,2.47,13.02,666,3383,42.0,46.0,Charging,68,18.75,1,72,28,balanced
1784603454,2.61,13.30,625,3335,41.0,45.0,Charging,68,18.75,1,72,28,balanced
1784603455,2.55,13.14,858,3157,41.0,45.0,Charging,68,18.74,1,72,28,balanced
1784603456,2.41,13.00,798,3413,42.0,45.0,Charging,68,18.74,1,72,28,balanced
1784603457,2.42,12.93,644,3328,41.0,45.0,Charging,68,18.73,1,72,28,balanced
1784603458,2.52,13.07,630,3051,41.0,45.0,Charging,68,18.73,1,72,28,balanced
