дата,вердикт,gpu_вт_сред,gpu_вт_макс,мгц,загрузка,батарея,rtd3,зазор_мс,wmi,ядро,boot_id,бат_вт,профиль
2026-07-21T16:06:44+05:00,ПЛОХАЯ,16.9,17.16,1308,94,"Charging 99%",Disabled,+371,redmi-wmi,7.1.3-2-cachyos,35287266f0ce48af86ae6ef77b2991ff,?,?
2026-07-21T16:14:48+05:00,ПЛОХАЯ,16.7,16.95,1302,94,"Charging 97%",Disabled,+371,redmi-wmi,7.1.3-2-cachyos,35287266f0ce48af86ae6ef77b2991ff,?,?
2026-07-21T16:16:26+05:00,ПЛОХАЯ,16.8,16.98,1287,96,"Charging 97%",Disabled,-33,redmi-wmi,7.1.3-2-cachyos,f3f8390c632b48ef8155bc0062dc6337,?,?
2026-07-21T21:33:12+05:00,ХОРОШАЯ,31.5,33.10,1706,86,"Not charging 99%",Disabled,-33,redmi-wmi,7.1.3-2-cachyos,f3f8390c632b48ef8155bc0062dc6337,0.0,balanced
2026-07-21T22:33:35+05:00,ХОРОШАЯ,25.8,26.52,1703,92,"Not charging 94%",Disabled,+513,redmi-wmi,7.1.3-2-cachyos,0f76a0b98a5a4d51a03cd3f45a4ce2d1,0.0,balanced
2026-07-22T06:04:44+05:00,ХОРОШАЯ,31.6,32.15,1704,88,"Charging 84%",Disabled,-0,redmi-wmi,7.1.3-2-cachyos,70e9b26be5e84b9fa6ea0fe913e22639,16.7,balanced
2026-07-22T06:55:34+05:00,ПЛОХАЯ,16.7,16.96,1293,96,"Charging 72%",Disabled,+321,bitland-mifs-wmi,7.1.3-2-cachyos,9d7c1fdd626f47cf8bb3023a01dd4b67,20.0,balanced
2026-07-22T06:56:51+05:00,ПЛОХАЯ,16.9,17.32,1320,95,"Charging 73%",Disabled,+321,bitland-mifs-wmi,7.1.3-2-cachyos,9d7c1fdd626f47cf8bb3023a01dd4b67,19.6,balanced
2026-07-22T07:12:30+05:00,ПЛОХАЯ,17.0,17.33,1327,94,"Charging 82%",Disabled,+321,bitland-mifs-wmi,7.1.3-2-cachyos,9d7c1fdd626f47cf8bb3023a01dd4b67,14.6,balanced
2026-07-22T07:16:54+05:00,ПЛОХАЯ,16.7,17.06,1327,94,"Charging 84%",Disabled,+321,bitland-mifs-wmi,7.1.3-2-cachyos,9d7c1fdd626f47cf8bb3023a01dd4b67,13.3,balanced
