epoch,pkg_w,psys_w,cpu_freq_avg_mhz,cpu_freq_max_mhz,pkg_temp_c,sen3_c,bat_status,bat_pct,bat_power_w,ac_online,pkg_throttle_count,core_throttle_count,platform_profile
1784623458,11.24,30.30,1843,3377,52.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623459,10.95,29.63,1513,3409,52.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623460,12.54,33.54,1415,3805,52.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623461,14.22,43.26,1541,3801,54.0,50.0,Discharging,100,0.02,1,239,109,balanced
1784623462,13.61,42.73,1486,3805,54.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623463,12.88,41.40,1162,3800,54.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623464,14.26,43.63,2411,3801,55.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623465,14.42,43.51,2754,3810,58.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623466,14.21,43.61,1927,3800,56.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623467,14.38,43.62,1933,3958,55.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623468,14.13,43.35,2544,3800,58.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623469,14.10,43.42,1631,3801,56.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623470,13.93,43.02,2433,3800,55.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623471,14.12,43.32,1726,3800,55.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623472,14.24,43.40,1900,3949,56.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623473,14.41,44.33,1916,3998,56.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623474,14.19,43.40,1250,3800,59.0,50.0,Discharging,100,0.02,1,239,109,balanced
1784623475,14.54,44.13,1550,3800,58.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623476,14.88,44.87,2425,3800,58.0,50.0,Discharging,100,0.02,1,239,109,balanced
1784623477,14.16,43.56,3064,3809,59.0,50.0,Discharging,100,0.03,1,239,109,balanced
1784623478,14.35,43.90,1405,3800,56.0,50.0,Discharging,100,0.03,1,239,109,balanced
1784623479,14.56,44.54,1439,3907,56.0,50.0,Discharging,100,0.03,1,239,109,balanced
1784623480,14.47,43.78,1241,3800,58.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623481,14.54,44.13,1554,3416,56.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623482,14.90,44.45,2440,3800,59.0,50.0,Discharging,100,0.03,1,239,109,balanced
1784623483,14.52,43.88,2507,3800,58.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623484,14.22,43.53,1610,4000,59.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623485,14.42,43.68,1565,3967,57.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623486,14.19,43.63,1972,3802,61.0,50.0,Discharging,100,0.02,1,239,109,balanced
1784623488,14.56,44.19,2091,3796,58.0,50.0,Not charging,100,0.00,1,239,109,balanced
1784623489,14.09,43.29,2047,3800,58.0,51.0,Not charging,100,0.00,1,239,109,balanced
1784623490,14.33,43.85,1917,3911,56.0,51.0,Not charging,100,0.00,1,239,109,balanced
1784623491,14.32,43.88,2298,3800,59.0,51.0,Not charging,100,0.02,1,239,109,balanced
1784623492,13.96,43.49,1463,3660,60.0,51.0,Discharging,100,0.02,1,239,109,balanced
1784623493,14.21,43.80,2062,3800,56.0,51.0,Not charging,100,0.00,1,239,109,balanced
1784623494,14.28,44.38,1814,3803,55.0,51.0,Discharging,100,0.04,1,239,109,balanced
1784623495,13.96,43.09,1590,3800,56.0,51.0,Discharging,100,0.02,1,239,109,balanced
