epoch,pkg_w,psys_w,cpu_freq_avg_mhz,cpu_freq_max_mhz,pkg_temp_c,sen3_c,bat_status,bat_pct,bat_power_w,ac_online,pkg_throttle_count,core_throttle_count,platform_profile
1784624044,10.78,32.50,1204,3584,55.0,45.0,Not charging,100,0.00,1,485,182,balanced
1784624045,13.63,32.00,1310,3393,53.0,45.0,Not charging,100,0.00,1,485,182,balanced
1784624046,10.80,28.16,1139,4000,51.0,45.0,Not charging,100,0.00,1,485,182,balanced
1784624047,9.98,27.55,1366,3400,53.0,45.0,Not charging,100,0.00,1,485,182,balanced
1784624048,16.17,37.73,1317,3977,55.0,45.0,Not charging,100,0.00,1,485,182,balanced
1784624049,15.76,45.34,2314,3801,56.0,45.0,Discharging,100,0.04,1,485,182,balanced
1784624050,13.93,42.55,990,3800,54.0,45.0,Not charging,100,0.00,1,485,182,balanced
1784624051,14.45,43.23,1653,3800,58.0,46.0,Not charging,100,0.00,1,485,182,balanced
1784624052,14.70,43.74,1591,3780,56.0,46.0,Not charging,100,0.00,1,485,182,balanced
1784624053,15.19,44.65,1794,3803,58.0,46.0,Discharging,100,0.02,1,485,182,balanced
1784624054,16.97,46.70,1580,3803,58.0,46.0,Discharging,100,0.15,1,485,182,balanced
1784624055,14.50,43.17,1969,3947,58.0,46.0,Discharging,100,0.22,1,485,182,balanced
1784624056,14.84,44.06,1170,3801,58.0,46.0,Discharging,100,0.22,1,485,182,balanced
1784624057,14.39,43.19,1843,3800,56.0,46.0,Not charging,100,0.00,1,485,182,balanced
1784624058,14.78,43.69,2341,3804,56.0,46.0,Not charging,100,0.00,1,485,182,balanced
1784624059,14.57,43.60,1684,3800,56.0,46.0,Not charging,100,0.00,1,485,182,balanced
1784624060,15.14,44.81,2069,3960,56.0,46.0,Not charging,100,0.00,1,485,182,balanced
1784624061,15.06,44.26,1521,3802,55.0,46.0,Not charging,100,0.00,1,485,182,balanced
1784624062,14.41,43.27,2184,3800,56.0,47.0,Not charging,100,0.00,1,485,182,balanced
1784624063,14.65,43.84,1313,3800,59.0,47.0,Not charging,100,0.00,1,485,182,balanced
1784624065,14.41,43.53,1564,3800,56.0,47.0,Not charging,100,0.00,1,485,182,balanced
1784624066,14.68,43.82,1769,3800,57.0,47.0,Not charging,100,0.00,1,485,182,balanced
1784624067,14.43,43.39,2162,3800,58.0,47.0,Not charging,100,0.00,1,485,182,balanced
