accountsservice 26.27.3-1.1
acpi_call-dkms 1.2.2-3
acpica 20251212-1.1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5.1
alsa-utils 1.2.16-1.1
base 3-3
base-devel 1-2
bash-completion 2.18.0-1
bibata-cursor-theme-bin 2.0.7-1
bluez 5.87-2.1
bluez-hid2hci 5.87-2.1
bluez-libs 5.87-2.1
bluez-obex 5.87-2.1
bluez-utils 5.87-2.1
brave-bin 1:1.93.129-1
btop 1.4.7-1.1
btrfs-progs 7.1-1
cachyos-fish-config 16-1
cachyos-gnome-settings 1.2.1-1
cachyos-hooks 2026.02.05-1
cachyos-keyring 20240331-1
cachyos-mirrorlist 27-1
cachyos-rate-mirrors 23-3
cachyos-settings 1:1.3.5-2
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
chafa 1.18.2-2.1
chwd 1.24.1-1
claude-desktop 1.24012.9-1
cpupower 7.1.5-1
cryptsetup 2.8.7-1.1
decibels 49.6.1-1
device-mapper 2.03.41-1.1
diffutils 3.12-2.1
discord 1:1.0.151-1
dosfstools 4.2-5.1
duf 0.9.1-1.1
e2fsprogs 1.47.4-1.1
efibootmgr 18-4.1
egl-wayland 4:1.1.21-1.1
exfatprogs 1.4.2-1.1
fastfetch 2.66.0-1.1
ffmpegthumbnailer 2.3.0-1.1
fnm 1.39.0-1.1
fwupd 2.1.7-1.1
gamemode 1.8.2-3.1
gamescope 3.16.24-1
gdm 50.1-1.1
ghostty 1.3.1-2.2
git 2.55.0-1.1
glmark2 2023.01-2.1
gnome-backgrounds 50.0-1
gnome-calculator 50.0-1
gnome-control-center 50.4-1.1
gnome-keyring 1:50.0-1.1
gnome-shell 1:50.3-1.1
gst-libav 1.28.5-4.1
gst-plugin-pipewire 1:1.6.8-1.1
gst-plugin-va 1.28.5-4.1
gst-plugins-bad 1.28.5-4.1
gst-plugins-ugly 1.28.5-4.1
gvfs-afc 1.60.2-1
gvfs-gphoto2 1.60.2-1
gvfs-mtp 1.60.2-1
gvfs-smb 1.60.2-1
inetutils 2.8-1.1
intel-lpmd 0.1.0-7
intel-media-driver 26.2.4-1.1
intel-ucode 20260512-1
less 1:704-1.1
lib32-gamemode 1.8.2-1
lib32-mangohud 0.8.4-1
lib32-nvidia-utils 610.43.03-1
lib32-opencl-nvidia 610.43.03-1
lib32-vulkan-icd-loader 1.4.357.0-1
lib32-vulkan-intel 3:26.1.6-1
libgsf 1.14.58-1.1
libnma 1.10.6-3.1
libopenraw 0.3.7-2.1
libva-nvidia-driver 0.0.17-1.1
linux-cachyos 7.1.5-1
linux-cachyos-headers 7.1.5-1
linux-cachyos-lts 6.18.40-1
linux-cachyos-lts-headers 6.18.40-1
linux-cachyos-lts-nvidia-open 6.18.40-1
linux-cachyos-nvidia-open 7.1.5-1
linux-firmware 1:20260622-1
logrotate 3.22.0-1.1
loupe 50.0-1.1
lsb-release 2.0.r55.a25a4fc-1
man-db 2.13.1-2.1
man-pages 6.18-1
mangohud 0.8.4-1.1
mdadm 4.6-2
mesa-utils 9.0.0-7.1
mkinitcpio 41-5
mullvad-vpn 2026.3-1.1
nano 9.1-1.1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
networkmanager 1.58.0-1
networkmanager-openvpn 1.12.5-1.1
noto-fonts 1:2026.08.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
nss-mdns 0.15.1-2.1
nvidia-prime 1.0-6
nvidia-utils 610.43.03-1
nvme-cli 2.16-2
opencl-nvidia 610.43.03-1
openssh 10.4p1-3.1
pacman-contrib 1.13.1-1.2
paru 2.1.0-3
perl 5.42.2-1.1
pipewire-alsa 1:1.6.8-1.1
pipewire-pulse 1:1.6.8-1.1
pkgfile 25-2.1
plocate 1.1.24-1.1
plymouth 26.134.222-2.1
poppler-glib 26.07.0-1.1
pv 1.11.0-1.1
python 3.14.6-2
python-defusedxml 0.7.1-8
python-packaging 26.2-1
realtime-privileges 5-1
rebuild-detector 4.4.5-1
reflector 2023-5
resources 1.10.2-1.1
ripgrep 15.2.0-1
rsync 3.4.4-1.1
showtime 50.0-1
simple-scan 50.0-1.1
smartmontools 7.5-1.1
snapshot 50.0-1.1
sof-firmware 2025.12.2-1
spotify 1:1.2.92.147-1
starship 1.26.0-1
steam 1.0.0.87-1
stress-ng 0.21.04-2.1
sudo 1.9.17.p2-6.1
sushi 50.0-1.1
switcheroo-control 3.0-1.1
sysfsutils 2.1.1-2.2
systemd-boot-manager 19-2
telegram-desktop 7.0.7-1.1
texinfo 7.3-1.1
tmux 3.7_b-1.1
ttf-ubuntu-font-family 1:0.83-2
ttf-ubuntu-mono-nerd 3.4.0-2
ufw 0.36.2-7
ufw-extras 1.3.0-1
unrar 1:7.2.7-1.1
unzip 6.0-23.1
usbutils 019-1.1
visual-studio-code-bin 1.131.0-1
vkmark 1:2025.01-2.1
vpl-gpu-rt 26.2.4-1.1
vulkan-icd-loader 1.4.357.0-1.1
vulkan-intel 3:26.1.6-1
vulkan-tools 1.4.357.0-1.1
wget 1.25.0-6.1
which 2.25-1.1
wireplumber 0.5.15-1.1
wl-clipboard 1:2.3.0-1.1
wpa_supplicant 2:2.11-5.1
xdg-user-dirs 0.20-1.1
xdg-utils 1.2.1-2
